id	title	author	pub_date	venue	volume	issue	page	type	publisher	editor
doi:10.1006/gcen.2001.7749 meta:br/135	Sight Of A Predator Can Stimulate A Corticosterone Response In The Great Tit (Parus Major)	Cockrem, J.F. [meta:ra/190]; Silverin, B. [meta:ra/191]	2002-02	General And Comparative Endocrinology [issn:0016-6480 meta:br/171]	125	2	248-255	journal article	Elsevier Bv [crossref:78 meta:ra/170]	
doi:10.1088/0022-3719/16/7/004 meta:br/136	Variable-range Hopping Conductivity In Granular Materials	Entin-Wohlman, O [meta:ra/192]; Gefen, Y [meta:ra/193]; Shapira, Y [meta:ra/194]	1983-03-10	Journal Of Physics C: Solid State Physics [issn:0022-3719 meta:br/174]	16	7	1161-1167	journal article	Iop Publishing [crossref:266 meta:ra/195]	
doi:10.1016/s1288-3255(99)80004-5 meta:br/137	Discharge Electrolysis In Molten Chloride: Formation Of Fine Silver Particles	Kawamura, Hiroyuki [meta:ra/196]; Moritani, Kimikazu [meta:ra/197]; Lto, Yasuhiko [meta:ra/198]	1998-09	Plasmas & Ions [issn:1288-3255 meta:br/177]	1	1	29-36	journal article	Elsevier Bv [crossref:78 meta:ra/170]	
doi:10.1016/s0160-4120(01)00120-9 meta:br/138	Estimating The Total Exposure To Air Pollutants For Different Population Age Groups In Hong Kong	Chau, C.K [meta:ra/199]; Tu, E.Y [meta:ra/200]; Chan, D.W.T [meta:ra/201]; Burnett, J [meta:ra/202]	2002-03	Environment International [issn:0160-4120 meta:br/180]	27	8	617-630	journal article	Elsevier Bv [crossref:78 meta:ra/170]	
doi:10.1029/gl005i008p00637 meta:br/139	Equatorial Adjustment In The Eastern Atlantic	Moore, Dennis [meta:ra/203]; Hisard, Philippe [meta:ra/204]; Mccreary, Julian [meta:ra/205]; Merle, Jacques [meta:ra/206]; O'Brien, James [meta:ra/207]; Picaut, Joël [meta:ra/208]; Verstraete, Jean-Marc [meta:ra/209]; Wunsch, Carl [meta:ra/210]	1978-08	Geophysical Research Letters [issn:0094-8276 meta:br/183]	5	8	637-640	journal article	American Geophysical Union (agu) [crossref:13 meta:ra/211]	
doi:10.1016/j.bandc.2006.01.009 meta:br/140	The Integration Of Cognition And Emotion During Infancy And Early Childhood: Regulatory Processes Associated With The Development Of Working Memory	Wolfe, Christy D. [meta:ra/212]; Bell, Martha Ann [meta:ra/213]	2007-10	Brain And Cognition [issn:0278-2626 meta:br/186]	65	1	3-13	journal article	Elsevier Bv [crossref:78 meta:ra/170]	
doi:10.1016/s0924-4247(02)00135-8 meta:br/141	A Novel Six-Component Force Sensor Of Good Measurement Isotropy And Sensitivities	Liu, Sheng A. [meta:ra/214]; Tzo, Hung L. [meta:ra/215]	2002-09	Sensors And Actuators A: Physical [issn:0924-4247 meta:br/189]	100	2-3	223-230	journal article	Elsevier Bv [crossref:78 meta:ra/170]	
doi:10.1080/0013191880400102 meta:br/142	Which Classroom Behaviours Do Primary School Teachers Say They Find Most Troublesome?	Wheldall, Kevin [meta:ra/216]; Merrett, Frank [meta:ra/217]	1988-01	Educational Review [issn:0013-1911 meta:br/192]	40	1	13-27	journal article	Informa Uk Limited [crossref:301 meta:ra/168]	
doi:10.1007/s10853-006-0719-y meta:br/143	Spark Plasma Sintering Of ZrB2–ZrC Powder Mixtures Synthesized By MA-SHS In Air	Tsuchida, Takeshi [meta:ra/218]; Yamamoto, Satoshi [meta:ra/219]	2007-02	Journal Of Materials Science [issn:0022-2461 meta:br/195]	42	3	772-778	journal article	Springer Berlin Heidelberg [crossref:297 meta:ra/161]	
doi:10.1016/j.apradiso.2006.02.094 meta:br/144	Low-level Activity Measurement Of 131Xem, 133Xem, 135Xe And 133Xe In Atmospheric Air Samples Using High-Resolution Dual X–γ Spectrometry	Le Petit, G. [meta:ra/220]; Jutier, C. [meta:ra/221]; Gross, P. [meta:ra/222]; Greiner, V. [meta:ra/223]	2006-10	Applied Radiation And Isotopes [issn:0969-8043 meta:br/198]	64	10-11	1307-1312	journal article	Elsevier Bv [crossref:78 meta:ra/170]	
