"id","value"
"doi:10.1002/(sici)1521-4141(199906)29:06<1793::aid-immu1793>3.0.co;2-3","v"
"doi:10.1093/nar/27.1.280","v"
"doi:10.1006/jsbi.1999.4097","v"
"doi:10.1073/pnas.95.26.15571","v"
"doi:10.1046/j.1432-1327.1998.2570131.x","v"
"doi:10.1007/bf01451571","v"
"doi:10.1002/1361-6374(199406)2:2<114::aid-bio6>3.0.co;2-f","v"
"doi:10.1016/0968-0004(89)90096-0","v"
"doi:10.1016/0309-1651(89)90077-5","v"
"doi:10.1016/0022-510x(88)90023-8","v"
"doi:10.1002/cm.970080106","v"
"doi:10.1016/0022-510x(87)90219-x","v"
"doi:10.1002/mus.880090605","v"
"doi:10.1073/pnas.81.3.776","v"
"doi:10.1016/0165-9936(83)87009-5","v"
"doi:10.1111/j.1365-2141.1983.tb02086.x","v"
"doi:10.1016/0022-510x(82)90025-9","v"
"doi:10.1038/283012a0","v"
"doi:10.1016/0022-2836(80)90298-3","v"
"doi:10.1016/0306-4522(79)90106-4","v"
"doi:10.1016/0022-2836(79)90078-0","v"
"doi:10.1016/0005-2795(78)90079-x","v"
"doi:10.1038/272016a0","v"
"doi:10.1083/jcb.76.2.512","v"
"doi:10.1016/0022-2836(78)90412-6","v"
"doi:10.1016/0005-2736(76)90433-8","v"
"doi:10.1016/0006-291x(73)90183-6","v"
"doi:10.1042/bj1310643","v"
"doi:10.1101/sqb.1972.036.01.015","v"
"doi:10.1002/ciuz.19710050102","v"
"doi:10.1038/225802a0","v"
"doi:10.1098/rstb.1970.0013","v"
"doi:10.1038/225806a0","v"
"doi:10.1038/225811a0","v"
"doi:10.1016/0076-6879(70)19009-4","v"
"doi:10.1016/0022-2836(68)90154-x","v"
"doi:10.7287/peerj.preprints.27582v1","v"
"doi:10.7287/peerj.preprints.27582","v"
"doi:10.1007/s11192-018-2988-z","v"
"doi:10.1145/3167132.3167367","v"
"doi:10.1007/978-3-030-01379-0_11","v"
"doi:10.1007/978-3-030-00668-6_8","v"
"doi:10.3233/ds-170012","v"
"doi:10.1007/978-3-319-54627-8_5","v"
"doi:10.3233/sw-160222","v"
"doi:10.1007/978-3-319-68130-6_1","v"
"doi:10.1007/978-3-319-58694-6_23","v"
"doi:10.1145/3051487","v"
"doi:10.1016/j.websem.2017.06.001","v"
"doi:10.1007/978-3-319-68204-4_19","v"
"doi:10.1016/j.bdr.2016.10.001","v"
"doi:10.7717/peerj-cs.132","v"
"doi:10.3233/sw-160230","v"
"doi:10.1145/3103010.3103018","v"
"doi:10.1109/ccnc.2017.7983287","v"
"doi:10.1007/978-3-319-68204-4_18","v"
"doi:10.1007/978-3-319-46565-4_22","v"
"doi:10.1007/978-3-319-46547-0_18","v"
"doi:10.1007/978-3-319-53637-8_1","v"
"doi:10.3233/sw-160224","v"
"doi:10.1007/978-3-319-53637-8","v"
"doi:10.3233/sw-150177","v"
"doi:10.1007/978-3-319-46397-1_9","v"
"doi:10.1145/2740908.2742133","v"
"doi:10.1145/2682571.2797065","v"
"doi:10.1145/2740908.2742842","v"
"doi:10.1007/978-3-319-25518-7_10","v"
"doi:10.1108/jd-12-2013-0166","v"
"doi:10.1007/978-3-319-25639-9_35","v"
"doi:10.1007/978-3-319-11955-7_15","v"
"doi:10.3233/sw-130098","v"
"doi:10.1145/2611040.2611092","v"
"doi:10.1007/978-3-319-11955-7_4","v"
"doi:10.3233/sw-130121","v"
"doi:10.4018/978-1-4666-6042-7.ch041","v"
"doi:10.1007/978-3-642-41242-4_6","v"
"doi:10.1007/978-3-642-41242-4_30","v"
"doi:10.1007/978-3-642-24794-1_16","v"
"doi:10.1007/978-3-642-25073-6_30","v"
"doi:10.1007/978-3-540-89704-0_17","v"
